post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05T16:07:13.341787,0.753731343283582,False
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,86,120,vrganj,2026-04-05T16:07:24.540080,1.3793103448275863,False
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,24,10,bundie,2026-04-05T16:07:34.079538,0.4,False
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,10,3,mempko,2026-04-05T16:07:38.948694,0.2727272727272727,False
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,16,3,andsoitis,2026-04-05T16:07:42.462591,0.17647058823529413,False
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,210,137,pseudolus,2026-04-05T16:07:42.499149,0.6492890995260664,True
47641615,Sopwith – 1984 Game (2000),sports,96,42,elvis70,2026-04-05T16:07:47.323533,0.4329896907216495,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-05T16:07:47.809563,0.9384615384615385,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-05T16:07:48.430584,0.46675191815856776,True
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05T16:08:03.220122,1.0,False
47648404,My Google Workspace account suspension,science,181,78,zenincognito,2026-04-05T16:08:05.758730,0.42857142857142855,False
47611993,VR Realizes the Cyberspace Metaphor,science,15,15,dryadin,2026-04-05T16:08:07.004197,0.9375,False
47629485,A case study in testing with 100+ Claude agents in parallel,science,55,48,thejash,2026-04-05T16:08:08.236295,0.8571428571428571,False
47645926,The Spaceballs sequel will be released in April next year,science,7,0,WaitWaitWha,2026-04-05T16:08:13.407393,0.0,False
47604155,SpaceX files to go public,science,397,574,nutjob2,2026-04-05T16:08:13.774928,1.4422110552763818,True
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,12,8,bookmtn,2026-04-05T16:08:14.020058,0.6153846153846154,False
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05T16:08:19.894270,0.3401360544217687,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05T16:08:20.178431,0.14634146341463414,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05T16:08:22.040063,0.17142857142857143,False
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05T16:08:27.563682,0.3076923076923077,False
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05T16:08:27.839656,0.18085106382978725,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,42,5,lexalizer,2026-04-05T16:08:30.687598,0.11627906976744186,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,137,20,laszlokorte,2026-04-05T16:08:30.808208,0.14492753623188406,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,144,13,kaipereira,2026-04-05T16:08:30.828237,0.0896551724137931,False
47613118,Show HN: I built a small app for FSI German Course,entertainment,45,13,syedmsawaid,2026-04-05T16:08:30.868688,0.2826086956521739,False
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,82,36,waveywaves,2026-04-05T16:08:31.111207,0.43373493975903615,False
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,157,6,teamchong,2026-04-05T16:08:31.622246,0.0379746835443038,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,764,192,ramkarthikk,2026-04-05T16:08:31.652030,0.25098039215686274,True
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,536,183,detaro,2026-04-05T16:08:32.189778,0.3407821229050279,True
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,59,6,xbmcuser,2026-04-05T16:08:32.235481,0.1,False
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,50,52,luca-ctx,2026-04-05T16:08:37.611635,1.0196078431372548,False
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,9,0,Jet_Xu,2026-04-05T16:08:37.674113,0.0,False
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,190,75,MaximilianEmel,2026-04-05T16:08:37.711578,0.39267015706806285,True
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,13,0,paberr,2026-04-05T16:08:37.869825,0.0,False
47643637,Show HN: Dev Personality Test,entertainment,7,3,4m1rk,2026-04-05T16:08:37.943995,0.375,False
47646553,The SimCity Planning Commission Handbook (2024),entertainment,5,0,Tomte,2026-04-05T16:08:42.661288,0.0,False
47621438,Show HN: Made a little Artemis II tracker,entertainment,151,57,codingmoh,2026-04-05T16:08:42.739584,0.375,False
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05T16:08:42.757318,0.6363636363636364,False
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05T16:08:42.847472,0.6388888888888888,False
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,898,432,novaRom,2026-04-05T16:08:43.327957,0.48053392658509453,True
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05T16:08:43.453287,0.05263157894736842,False
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05T16:08:43.510662,0.27586206896551724,True
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05T16:08:43.764385,0.5701754385964912,False
47631648,Automatic Textbook Formalization,entertainment,43,17,tzury,2026-04-05T16:08:43.780321,0.38636363636363635,False
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05T16:08:44.002930,0.55,False
